ABCF2	PSAT1	KCNE5	DEPP1	STON1-GTF2A1L	TNN	SYT3
RPP25L	LMO1	DUSP10	PDLIM2	CASQ1	MYT1	TUNAR
S100A16	SGIP1	CDC25C	EPS8L2	AQP5	BPI	KRT19
CRYAB	SHROOM3	TRIM55	S1PR3	LECT2	SLC22A10	GSDMA
HBB	LRRC4C	PMFBP1	ACKR3	ANKRD30BL	NOX3	FAM71E1
KLHDC7A	POU6F2	GAD1	RGS9	PCDH11X	FAM209A	RIIAD1
HARBI1	CERS3	PPP1R3G	ALPK1	PDGFD	TRPM3	ACTA1
HLX	NTM	DLGAP5	CYP4F12	RLBP1	DOK6	EPB42
METTL1	SOX5	ILDR2	CD38	HACD4	CAPN6	EFCAB8
PARP12	GPC5	EXO1	RNF19A	METTL24	KIF26A	UNC45B
OSGIN1	RPL36A-HNRNPH2	MAP3K1	PRR16	LRRC3B	COLEC11	PHF24
MTHFD2	SEMA5A	DLL3	FAM110C	ATP10B	MTMR7	CA4
BBS5	RIT2	COL22A1	TMC6	ADGRG6	CACNA1B	GRM4
PCGF1	PLA2G5	AC091057.6	GFAP	C8orf89	GLRA2	NTF3
C20orf203	KLF15	PLAU	DENND2D	PTH2R	LRRC7	NKD2
UPP1	PRR22	ASPM	SYNE3	NFATC4	GOLGA6A	POU2F3
POLR2J3	PCDH7	ERVFRD-1	HLA-DRB5	ADGRV1	TXNIP	ADRA2A
KIAA0391	KNG1	PM20D1	PTH1R	GALNT16	TMEM196	C1orf127
IPO4	HOPX	INKA2	EXPH5	FZD8	SPAAR	SGPP2
SLC30A2	CA8	BEST3	MAP3K14	SLC8A1	ALDH8A1	PHLDA2
IARS	LGR6	NES	PCED1B	GOLGA8T	TRPC5OS	DLL4
MAP3K20	PDE7B	ATP2C2	APOBEC3G	DOCK5	GLIS1	RASIP1
ACVR1	KAT2B	SLC13A5	LIMK2	TECTB	ADCY10	LRRC73
PSMB8	SUSD2	POU3F4	GBP4	STOM	HS3ST4	ULBP1
EIF4EBP1	ANGPTL7	MEGF11	SORCS1	MYO3A	CSF3	MATN1
IFIT3	GRM3	ELFN1	RETREG1	NCALD	SLC6A6	SOWAHA
SLC7A7	OPHN1	IGSF9B	CYS1	FAM69C	CCDC59	PYDC1
NUDCD2	ACOT11	DGKH	C1RL	JPH1	SH2D4B	EPOP
FAM129A	LMO3	POLQ	MMEL1	CHRDL1	KCNB2	TULP2
PPRC1	PSMD9	CHST14	CFAP54	MFGE8	MOBP	AARD
SLC26A7	APBB2	FAM196B	CABCOCO1	SLC16A11	SYN3	TSPEAR
VLDLR	MDFIC2	KIRREL3	TGFBI	LYPD6B	THEG	SMKR1
GCLM	NOTCH2NL	FJX1	SLFN13	GPR156	AURKC	KISS1R
SMIM30	BMX	TLE2	TMEM176B	FSTL5	FSCN2	PNMA5
C1QTNF7	ADGRG3	SKA3	C1R	ART4	CELA1	MAFA
SAMD11	NTRK3	BRIP1	PDIA5	INSIG1	KHDRBS2	RAB17
CLDN23	FOLR1	NXPH1	FAM198A	RNF175	DCDC2C	CARTPT
MRPL50	TANGO2	AL359922.1	ZIC1	SORCS2	HCRTR2	RPL3L
LHFPL2	ACSL6	NKX2-2	STUM	ARX	AC010132.3	IL12RB1
GLIPR1	ATP13A4	CENPU	CBLN3	SEC14L6	SH3GL3	BICDL2
AL121753.1	STXBP6	P2RX6	ARHGAP27	RPS6KA5	VASH2	GPR26
TMEM185B	CD9	GYPE	BGN	CMTM5	SLC2A2	CLIC6
PBX3	CA12	TRPV5	BMP4	GJB2	FUT6	HLA-DPB1
SYT12	TLE1	SLC44A5	NPSR1	SEC14L4	SLC26A3	SHH
TMEM154	ADGRL3	FOXN4	ZIC4	KLHL14	FUT3	CTSV
TMEM217	RAET1G	CENPK	PLPP4	PCDH11Y	NMNAT2	COMP
ISG20	PNLIP	PROX1	B3GALT5	PRSS54	CD247	FADS6
TPD52L1	AL160272.2	GREB1	HLA-DRA	AC112229.3	ALLC	TM4SF1
CTU2	NCAM2	TSPAN11	SPAG1	KCNE4	RAB44	CA7
LURAP1L	CPEB4	WSCD1	AHNAK	TFPI	LTA	NPPC
HEY2	CPB1	ITPRIPL1	SVEP1	ACSM5	CCDC83	BTNL9
MATR3	PDE4B	MCM10	RASSF9	RGCC	CA10	ACSM1
NRP2	OSBPL3	RTKN2	EFEMP1	OAF	CD8B	RIPK4
